sim-id,trigtime,ra,dec,H1-snr,L1-snr,V1-snr,snr,npix,logZ-tensor-R-1,logZ-err-tensor-R-1,logZ-tensor-N-0,logZ-err-tensor-N-0,logZ-vector-R-1,logZ-err-vector-R-1,logZ-vector-N-0,logZ-err-vector-N-0,logZ-scalar-N-0,logZ-err-scalar-N-0,logZ-scalar-P-1,logZ-err-scalar-P-1
39,966416701.6392397,0.101082399,0.496083885,14.872844174,15.850065212,4.825590522,22.26459936614074,81,-8.25425997438512,0.020505249115474723,-6.3768120793630505,0.01755153542596333,-9.046257210415542,0.02854143709082227,-6.5932620926310905,0.018991873949618463,-9.406051065484695,0.07316117574840685,-6.3101858314212835,0.011362158588770642
40,966417510.4066653,3.747205019,0.40731701299999995,16.164288809000002,19.930499462,5.5371259760000004,26.252024790092648,102,-10.883223094291441,0.011073982149706714,-7.191819090255576,0.021335293524123458,-8.834450944150129,0.04553211660293201,-7.03528207146718,0.02340041394656596,-11.859011641306616,0.05035996273076384,-5.18625009213167,0.01071678427408433
41,966418394.4530078,0.021818221000000002,-1.045495987,11.00815798,8.862160422,16.373203394,21.628666598734053,61,-9.665228811253712,0.08208177157633462,-7.473819252366065,0.03183938699682704,-20.265277587132932,0.17336375251925373,-8.606382592928528,0.0306630037010059,-12.068057954146456,0.08974635554547084,-9.02296996449144,0.03185367043003712
42,966419244.982511,3.54538703,0.558755279,15.223792759,15.487314171,10.363591256,24.06293394251162,85,-10.14757178779,0.04801798375475613,-6.960870809843647,0.01742530644005314,-10.00982613129459,0.021869228297358916,-6.658015177889117,0.016098632414754566,-10.117683966689972,0.01180800983020462,-7.047546135663899,0.016979547901030796
43,966420201.458412,3.7537620069999997,0.37133160200000004,7.776630301,16.117111493,8.832223138,19.956087474142986,78,-12.203501151503744,0.05422008999066266,-7.442871130652494,0.02039294719518911,-15.903830626500424,0.06740458836469566,-7.20934264973859,0.02457510716629904,-14.501746578444376,0.019072357099495934,-6.872755579401466,0.016043495944349635
44,966420913.3284323,5.408080101,0.086412877,19.008205818,13.600644208,14.849295458,27.69099107816534,84,-21.676830394938168,0.04718295556329048,-7.453409257806587,0.028872730598380938,-14.898413999413824,0.1477237794556552,-7.694002136318219,0.03390699049831563,-41.78971657216592,0.036962359990120396,-16.359913395863757,0.20638639775543838
45,966421764.9511981,1.12560904,-0.279754907,14.44606231,15.086358794,1.055252858,20.914121939972063,73,-7.452572940627954,0.03801145261329143,-6.483311354132847,0.015187670524055381,-6.14942677584572,0.02013458091476797,-5.9210702557154775,0.0148013026717699,-6.887608572004283,0.027883771095673134,-4.58442434734279,0.010312606795374567
46,966422694.7459024,1.6556210519999999,-0.633811891,17.360083983,12.805288812,10.090093572,23.81507769769524,74,-18.953562704010263,0.1134692959081336,-8.19773168603826,0.04862979373715488,-27.616896042865672,0.07810951967276458,-9.22880400220837,0.05186621537993816,-36.17799722904246,0.058626039309186265,-9.206498425640106,0.03838898280843125
47,966423384.1048456,5.50714016,0.974905729,19.709558757,12.934748631,7.209523022999999,24.652619551722264,75,-10.125050251234967,0.08251791238514006,-7.455817714550527,0.020447046041380538,-11.39388369719634,0.04639761648454697,-6.5248696452425134,0.02633548561271213,-9.631818615218961,0.062002705032229516,-7.723238408771761,0.03667892675037059
48,966424376.8928205,1.9904179569999998,0.49544298600000003,10.983902604,13.955302182999999,12.08254709,21.479863119095292,61,-11.435753792990514,0.03890514437986217,-6.665963694443067,0.024331163788069578,-11.597767320483161,0.06390816267696466,-6.922008500447137,0.026721630066097558,-12.596665645175023,0.08858615352658455,-8.499952700907127,0.04192794309377871
49,966425050.1832511,0.648217976,0.086842343,12.072834311,14.893037647,11.21924649,22.213225575300754,86,-19.476171561833173,0.07495566275904271,-7.8316211025414875,0.03156084100290644,-18.249219166716276,0.06609978191920367,-7.937811424745125,0.033043330943190154,-17.323675240365638,0.18123538175318576,-15.015613706804105,0.051953332528067754
50,966425978.1803513,5.552133082999999,-1.20065999,10.100262987,12.621392027,15.471888604,22.376196863639862,73,-16.122281878672737,0.20730069938370227,-6.971704619279558,0.01971168845563875,-15.41407812583609,0.10436033449537503,-7.625998095808287,0.029427998176358192,-21.589373726263933,0.2549154954221343,-9.738999768254802,0.02888845814545811
51,966426780.6526382,0.45680019299999997,0.629652023,17.582375717,15.237689035999999,2.435580515,23.393570814577103,87,-8.173825801231281,0.023111460707526944,-6.5388683496307785,0.015279228045695405,-8.048572837509688,0.04107578525610666,-6.394746068655563,0.019353237834814362,-8.634582276439092,0.06142015479416534,-5.171540813023862,0.011552306947642884
52,966427546.6668217,3.086776018,-0.170943394,17.08187686,11.515120155999998,5.342162946,21.28208669771215,80,-8.221373146410206,0.02776495038826998,-6.455981589630749,0.016439141951219254,-10.532650073714978,0.047756598688101594,-7.376334309697786,0.021556753796335624,-11.196224208440244,0.04010863383674513,-6.717938538598636,0.01399387509441821
